id,label1,label2,label3,detail,text
1351302319271514112,1,1,1,PROF,ben bu yavsaklarla bas edemiyorum
1372229921137823746,1,1,1,PROF,@besiktaasliiii ben topladım da noldu lna şu an elimin altında 10 k'lık pc var ama boşa yaşıyom cs gel arada aq
1354064141120626689,1,1,1,PROF,@mahirunal sayın vekilim bunların içinde zaten hiç akıllı biri yok en akıllısı böyle çeşit ama böyle bi bunamış muhalefet lazım olmazsa kime güleceğiz
1353438786089267200,1,1,1,PROF,taymim bok gibi
1354706754161041409,0,0,0,NON,@ilhanazakli ben de. bu işin altında bi çapanoğlu var.
1354527055866683393,1,1,1,PROF,@eda_ciet çok güzel sexsi tanım as k istiyorum seni
1354129520824115200,1,1,1,IND,"@ntvspor şu abdullah avcı niye böyle ya. yönetime transfer ihtiyacının olduğunu iletmişsin, yönetim iplememiş seni ama sen hala şakayla cilveyle yönetime şebeklik yapmaya çalışıyorsun. bu rezillikte olmasına rağmen fbnin talip olduğu oyuncuya talip olmaya çalışıyor komik"
1354489989090988038,1,1,1,IND,@italyan_kurdu lan sen kim köpeksin çocuğa o elini indir diyorsun keşke denk gelsen bana senin gibi şerefsizler yüzünden çoğu suçsuz zabıtanında anasına bacısına küfür ediyoruz toplu girdiğimizden dayı allah seni bana böyle bi hareket yaparken karşıma çıkarsın d
1350937471270453249,1,1,1,PROF,yani doğru söyleyin bu kadar salaklığınız bilerek mi bilmeyerek mi çünkü bilmeyerekse sıkıntı büyük
1356704887875260421,0,1,0,NON,@kilicdarogluk bence acilen selleri önleyecek bi heykel yapın . yerin altından boru geçireceğiniz yok sizin 😀
1354552346974564352,1,1,1,PROF,"kendini akıllı sanan insanlara çok üzülüyorum, düşünsene malsın ve bundan haberin yok."
1355601989787332608,0,1,0,NON,"@alperpirsen @signor_alberto alper'cim cok ayıp, aslan gibi adama bu paylaşım yakışıyor mu?  gerçi yalıyor uygun olmuş."
1354904397734694915,1,1,1,PROF,@efeeedenizz çok salak var bu ülkede 😇
1374793512189837321,1,1,1,IND,burak yılmaz portakal soyuyo aq
1374776823779823618,1,1,1,IND,@arifsevimlii burak yılmaz'ı kınıyorum. portakal si*ilir mi aq
1354860918430199813,0,0,0,NON,@sebinli2882 @pinaraslan4558 sen kimin ağızıyla konuşuyorsun?sen oku araştır ben fazlasıyla araştırdım.araştırmayada devam ediyorum.adam belgelerle konuşuyor. boş konuşmuyor polemiği sevmem diyorsun polemiğe sokuyorsun.hemen zoruna https://t.co/iitsq3ozggıştınız chpnin çöp muhalefetine.gerçekler acıdır
1372792612457877512,1,1,1,PROF,@ahmetercaniar @turgaydemirr @futbolsansursuz irkçılık yapma dayı ne aq djdjdjdjjd
1351080374202462209,0,0,0,NON,"ablamla konuşuyorumdur 
o: sen bunu da yaparsın
ben: hayır bu kadar şerefsiz değilim
göz göze geliriz
ben: evet yaparım"
1351491928051896323,1,1,1,PROF,"olm ben bunu her izlediğimde ebem kayiyo amk ahabqhanshusnqusnsusnw allahim sen affet
https://t.co/yd7g6nxld9"
1356955414911356928,1,1,1,PROF,@pedronetofan @sporx ferdi denen balondan iyidir bu çocuk yetenekli olmassa spartak moskova dan  lecce amiens den teklif gelmezdi ve oynadığı maçlarda gayet etkili  göbek yok kas onlar amk
1354883883058270209,1,1,1,PROF,emir verir gibi bir şeyler yap derseniz bok yaparım
1349734462108491777,0,0,0,NON,"@sputnik_tr şaşırdık mı? hayır! @araskargo çalışanları kadar kaba, iş bilmez, müşteriyi döver gibi davranan bir tane daha firma yok! i̇stanbul’da bunların şubelerine kargo götürün neredeyse dövecek gibi davranıyorlar insana. hepsi aynı ama bunlar bir tık daha fazla bu konuda."
1351129598117998598,1,1,1,PROF,@osarikaya01 bazı erkekler ne kadar aptal olduklarını belki bu vesileyle öğrenir 🥴
1372920843207114754,1,1,1,PROF,ben bu sitenin ekmegini yiyene kadar rest fln vermem aq
1372289863039471618,1,1,1,PROF,benim her akşam dışarı çıkmam lazım bütün düzenim bozuluyor yoksa aq.
1348928890023124993,1,1,1,GRP4,@herkesicinchp @canan_kaftanci sözde demokrasi savunucularına bak🤣 20 yıldır her seçimde milleti ile tokadı yapıştırıyor sizler ise darbeler harici hiç seçilmediniz kanayan yaranız kapanmayacak aksine son damlasına kadar akıp gidecek lâ gali̇be i̇llâllah ☝️
1374473684887334923,1,1,1,PROF,@curryspor yaw kes gsw ye bak aq sen
1354876323773218816,1,1,1,PROF,@krddggoksu beceriksizler bi haltıda becerin be
